"sequence","species_id","species_name","pdb","prophage","modeller","uniprot","Identity","Coverage1","Coverage2","rank","kegg_hit","EC.x","uniref_hit","uniref_identity","uniref_bitScore","uniref_eVal","cazy_hits","kofam","refseq","swissprot","evalue","score","COG_category","Description","EC.y"
"SpeciesTaxid_1680.NC_008618.1_274","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_274.pdb.gz","NO","NO","A1A013","100","99.6","100","B","L-lysine exporter family protein LysE/ArgO",NA,"UniRef90_A0A173XA65 Amino acid transporter n=43 Tax=Bifidobacterium TaxID=1678 RepID=A0A173XA65_BIFAD",0.903,426,1.03e-132,"0",NA,"lyse family transporter",NA,1.18e-148,419,"S","LysE type translocator","-"
"SpeciesTaxid_1680.NC_008618.1_275","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_275.pdb.gz","NO","NO","A0A0B5BMH6","100","99.8","100","B","GntR family transcriptional regulator, regulator for abcA and norABC",NA,"UniRef90_A0A0B5BMH6 GntR family transcriptional regulator n=34 Tax=Bifidobacterium TaxID=1678 RepID=A0A0B5BMH6_BIFAD",0.972,1032,0,"0","aspartate aminotransferase [EC:2.6.1.1]",NA,NA,0,1008,"EK","Alanine-glyoxylate amino-transferase","-"
"SpeciesTaxid_1680.NC_008618.1_276","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_276.pdb.gz","NO","NO","A0A1X3A5G7","100","99.8","100","B","U32 family peptidase ","3.4.-.-","UniRef90_E0Q8U9 Peptidase, U32 family n=113 Tax=Bacteria TaxID=2 RepID=E0Q8U9_9BIFI",0.914,1012,0,"0","U32 family peptidase [EC:3.4.-.-]",NA,NA,0,1040,"O","Peptidase family U32 C-terminal domain","-"
"SpeciesTaxid_1680.NC_008618.1_277","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_277.pdb.gz","NO","NO","A0A087DLP8","100","99.7","100","B","purine-nucleoside/S-methyl-5'-thioadenosine phosphorylase / adenosine deaminase ","2.4.2.1 2.4.2.28 3.5.4.4","UniRef90_A0A174BF82 Laccase domain-containing protein n=32 Tax=Bifidobacterium TaxID=1678 RepID=A0A174BF82_BIFAD",0.95,686,1.59e-220,"0","purine-nucleoside/S-methyl-5'-thioadenosine phosphorylase / adenosine deaminase [EC:2.4.2.1 2.4.2.28 3.5.4.4]",NA,NA,1.31e-245,674,"Q","Multi-copper polyphenol oxidoreductase laccase","-"
"SpeciesTaxid_1680.NC_008618.1_278","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_278.pdb.gz","NO","NO","A1A017","99.7","99.7","99","B","",NA,"UniRef90_A1A017 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase n=25 Tax=Bacteria TaxID=2 RepID=A1A017_BIFAA",0.95,602,2.31e-192,"0","ribitol-5-phosphate 2-dehydrogenase (NADP+) / D-ribitol-5-phosphate cytidylyltransferase [EC:1.1.1.405 2.7.7.40]",NA,NA,1.56e-182,510,"I","Catalyzes the formation of 4-diphosphocytidyl-2-C- methyl-D-erythritol from CTP and 2-C-methyl-D-erythritol 4- phosphate (MEP)","1.1.1.405,2.7.7.40,2.7.7.60"
"SpeciesTaxid_1680.NC_008618.1_279","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_279.pdb.gz","NO","NO","A1A018","100","99.6","98.7","B","pyroglutamyl-peptidase ","3.4.19.3","UniRef90_A1A018 5-oxoprolyl-peptidase n=19 Tax=Bifidobacterium TaxID=1678 RepID=A1A018_BIFAA",0.963,464,8.48e-146,"0",NA,"pyroglutamyl-peptidase i",NA,9.04e-159,445,"O","Removes 5-oxoproline from various penultimate amino acid residues except L-proline","3.4.19.3"
"SpeciesTaxid_1680.NC_008618.1_280","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_280.pdb.gz","NO","NO","A0A6N2SUH6","99.6","99.8","100","B","",NA,"UniRef90_A0A076JKH3 Cell division protein n=19 Tax=Bifidobacterium TaxID=1678 RepID=A0A076JKH3_BIFAD",0.83,817,4.05e-263,"0",NA,"multispecies: cell division protein",NA,1.89e-135,406,"D","nuclear chromosome segregation","-"
"SpeciesTaxid_1680.NC_008618.1_281","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_281.pdb.gz","NO","NO","A1A020","100","99.8","100","B","bleomycin hydrolase ","3.4.22.40","UniRef90_A1A020 Aminopeptidase n=28 Tax=Bifidobacterium TaxID=1678 RepID=A1A020_BIFAA",1,946,0,"0","Autographa californica nucleopolyhedrovirus V-cath endopeptidase [EC:3.4.22.50]",NA,NA,0,914,"E","Peptidase C1-like family","3.4.22.40"
"SpeciesTaxid_1680.NC_008618.1_282","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_282.pdb.gz","NO","NO","A0A087DLQ3","100","99.7","100","B","3-deoxy-7-phosphoheptulonate synthase ","2.5.1.54","UniRef90_E0Q8U2 Phospho-2-dehydro-3-deoxyheptonate aldolase n=119 Tax=Bacteria TaxID=2 RepID=E0Q8U2_9BIFI",0.92,725,3.02e-233,"0",NA,"3-deoxy-7-phosphoheptulonate synthase","phospho-2-keto-3-deoxyheptonate aldolase [2.5.1.54]",7.41e-276,754,"E","Stereospecific condensation of phosphoenolpyruvate (PEP) and D-erythrose-4-phosphate (E4P) giving rise to 3-deoxy-D- arabino-heptulosonate-7-phosphate (DAHP)","2.5.1.54"
"SpeciesTaxid_1680.NC_008618.1_283","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_283.pdb.gz","NO","NO","A1A022","100","99.7","100","B","3-deoxy-7-phosphoheptulonate synthase ","2.5.1.54","UniRef90_A1A022 Phospho-2-dehydro-3-deoxyheptonate aldolase n=27 Tax=Bacteria TaxID=2 RepID=A1A022_BIFAA",0.965,802,1.01e-259,"0",NA,"3-deoxy-7-phosphoheptulonate synthase","phospho-2-keto-3-deoxyheptonate aldolase [2.5.1.54]",5.99e-286,781,"E","Stereospecific condensation of phosphoenolpyruvate (PEP) and D-erythrose-4-phosphate (E4P) giving rise to 3-deoxy-D- arabino-heptulosonate-7-phosphate (DAHP)","2.5.1.54"
"SpeciesTaxid_1680.NC_008618.1_284","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_284.pdb.gz","NO","NO","A7A3W7","100","99.6","100","B","adenosylhomocysteine nucleosidase ","3.2.2.9","UniRef90_A0A076JL46 5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase n=16 Tax=root TaxID=1 RepID=A0A076JL46_BIFAD",0.911,449,1.38e-140,"0",NA,"multispecies: 5'-methylthioadenosine/s-adenosylhomocysteine nucleosidase",NA,2.56e-157,442,"E","Catalyzes the irreversible cleavage of the glycosidic bond in both 5'-methylthioadenosine (MTA) and S- adenosylhomocysteine (SAH AdoHcy) to adenine and the corresponding thioribose, 5'-methylthioribose and S-ribosylhomocysteine, respectively","3.2.2.9"
"SpeciesTaxid_1680.NC_008618.1_285","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_285.pdb.gz","NO","NO","A1A024","100","99.8","100","B","two-component system, OmpR family, sensor histidine kinase SenX3 ","2.7.13.3","UniRef90_A0A0B5BMI6 Histidine kinase n=39 Tax=Bifidobacterium TaxID=1678 RepID=A0A0B5BMI6_BIFAD",0.912,895,2.34e-290,"0","two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR [EC:2.7.13.3]",NA,NA,0,871,"T","His Kinase A (phosphoacceptor) domain","2.7.13.3"
"SpeciesTaxid_1680.NC_008618.1_286","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_286.pdb.gz","NO","NO","A0A076JM67","100","99.6","100","B","two-component system, OmpR family, response regulator RegX3",NA,"UniRef90_D2Q8C7 Response regulator protein VicR n=127 Tax=Bifidobacteriales TaxID=85004 RepID=D2Q8C7_BIFDB",0.917,451,3.72e-141,"0","twitching motility two-component system response regulator PilG",NA,NA,6.89e-166,464,"KT","Transcriptional regulatory protein, C terminal","-"
"SpeciesTaxid_1680.NC_008618.1_287","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_287.pdb.gz","NO","NO","A1A026","100","99.7","94.2","B","phosphate transport system substrate-binding protein",NA,"UniRef90_A0A3D0PXS6 Phosphate-binding protein PstS n=92 Tax=Bacteria TaxID=2 RepID=A0A3D0PXS6_9BIFI",0.881,689,1.06e-220,"0","phosphate transport system substrate-binding protein",NA,NA,2.91e-256,704,"P","Part of the ABC transporter complex PstSACB involved in phosphate import","-"
"SpeciesTaxid_1680.NC_008618.1_288","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_288.pdb.gz","NO","NO","A1A027","100","99.7","100","B","phosphate transport system permease protein",NA,"UniRef90_A0A076JF81 Phosphate transport system permease protein n=59 Tax=Bacteria TaxID=2 RepID=A0A076JF81_BIFAD",0.903,597,2.94e-190,"0","phosphate transport system permease protein",NA,NA,1.4e-211,586,"P","probably responsible for the translocation of the substrate across the membrane","-"
"SpeciesTaxid_1680.NC_008618.1_289","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_289.pdb.gz","NO","NO","A1A028","100","99.7","99.7","B","phosphate transport system permease protein",NA,"UniRef90_A1A028 Phosphate transport system permease protein PstA n=85 Tax=Bacteria TaxID=2 RepID=A1A028_BIFAA",0.894,618,3.14e-197,"0","phosphate transport system permease protein",NA,NA,6.98e-219,606,"P","Phosphate transport system permease","-"
"SpeciesTaxid_1680.NC_008618.1_290","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_290.pdb.gz","NO","NO","R5GL15","100","99.6","100","B","phosphate transport system ATP-binding protein ","7.3.2.1","UniRef90_Q8G7F4 Phosphate import ATP-binding protein PstB n=293 Tax=Bacteria TaxID=2 RepID=PSTB_BIFLO",0.942,514,2.04e-162,"0","Fe-S cluster assembly ATP-binding protein",NA,NA,2.83e-191,530,"P","Part of the ABC transporter complex PstSACB involved in phosphate import. Responsible for energy coupling to the transport system","3.6.3.27"
"SpeciesTaxid_1680.NC_008618.1_291","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_291.pdb.gz","NO","NO","A0A1X2ZTM4","100","99.7","100","B","zinc/manganese transport system substrate-binding protein",NA,"UniRef90_A0A174BFB7 ABC transporter substrate-binding protein n=63 Tax=Bifidobacterium TaxID=1678 RepID=A0A174BFB7_BIFAD",0.918,572,9.1e-182,"0",NA,"zinc abc transporter substrate-binding protein",NA,5.43e-199,553,"P","Zinc-uptake complex component A periplasmic","-"
"SpeciesTaxid_1680.NC_008618.1_292","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_292.pdb.gz","NO","NO","A0A076JGL2","100","99.8","100","B","adenine/guanine/hypoxanthine permease",NA,"UniRef90_D2Q8D4 Guanine-hypoxanthine permease n=22 Tax=Bifidobacterium TaxID=1678 RepID=D2Q8D4_BIFDB",0.873,839,4.48e-271,"0","adenine/guanine/hypoxanthine permease",NA,NA,4.85999999963672e-315,860,"S","Permease family","-"
"SpeciesTaxid_1680.NC_008618.1_293","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_293.pdb.gz","NO","NO","A7A3X8","100","99.4","100","C","large subunit ribosomal protein L10",NA,"UniRef90_A1A032 50S ribosomal protein L10 n=19 Tax=Bifidobacterium TaxID=1678 RepID=RL10_BIFAA",0.924,337,8.08e-103,"0",NA,"multispecies: 50s ribosomal protein l10","50s ribosomal protein l10",5.27e-115,330,"J","Forms part of the ribosomal stalk, playing a central role in the interaction of the ribosome with GTP-bound translation factors","-"
"SpeciesTaxid_1680.NC_008618.1_294","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_294.pdb.gz","NO","NO","A0A3D1TPD2","100","99.2","100","C","large subunit ribosomal protein L7/L12",NA,"UniRef90_A1A033 50S ribosomal protein L7/L12 n=35 Tax=Terrabacteria group TaxID=1783272 RepID=RL7_BIFAA",0.852,224,1.02e-64,"0",NA,"multispecies: 50s ribosomal protein l7/l12","50s ribosomal protein l7/l12",6.32e-64,197,"J","Forms part of the ribosomal stalk which helps the ribosome interact with GTP-bound translation factors. Is thus essential for accurate translation","-"
"SpeciesTaxid_1680.NC_008618.1_295","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_295.pdb.gz","NO","NO","A1A034","100","99.8","98.8","B","",NA,"UniRef90_A1A034 FHA domain-containing protein n=57 Tax=Bifidobacterium TaxID=1678 RepID=A1A034_BIFAA",0.92,955,1.725e-310,"0",NA,"fha domain-containing protein",NA,0,924,"T","Forkhead associated domain","-"
"SpeciesTaxid_1680.NC_008618.1_296","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_296.pdb.gz","NO","NO","A1A035","100","99.9","99.7","B","",NA,"UniRef90_A0A076JM77 Helicase n=53 Tax=Bacteria TaxID=2 RepID=A0A076JM77_BIFAD",0.939,2375,0,"0",NA,"helicase",NA,0,2325,"L","Superfamily I DNA and RNA helicases and helicase subunits","-"
"SpeciesTaxid_1680.NC_008618.1_297","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_297.pdb.gz","NO","NO","A0A076JGL7","100","98.9","100","C","",NA,"UniRef90_A0A076JGL7 Protein n=10 Tax=Bifidobacterium TaxID=1678 RepID=A0A076JGL7_BIFAD",0.936,179,1.09e-49,"0",NA,"multispecies: hypothetical protein",NA,7.97e-57,176,"-","-","-"
"SpeciesTaxid_1680.NC_008618.1_298","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_298.pdb.gz","NO","NO","A0A6A2R640","100","99.6","100","B","pilus assembly protein CpaB",NA,"UniRef90_R5GZF2 SAF domain-containing protein n=29 Tax=Bifidobacterium TaxID=1678 RepID=R5GZF2_9BIFI",0.888,494,2.72e-155,"0",NA,"saf domain-containing protein",NA,1.11e-171,481,"NO","SAF","-"
"SpeciesTaxid_1680.NC_008618.1_299","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_299.pdb.gz","NO","NO","A0A087DLS0","100","98.4","100","C","",NA,"UniRef90_A0A076JL60 Evolved beta-galactosidase subunit alpha n=20 Tax=Bifidobacterium TaxID=1678 RepID=A0A076JL60_BIFAD",1,138,4.77e-36,"0",NA,"fmdb family transcriptional regulator",NA,2.04e-41,135,"S","Putative regulatory protein","-"
"SpeciesTaxid_1680.NC_008618.1_300","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_300.pdb.gz","NO","NO","A0A1V8Q996","100","99.5","100","B","5-formyltetrahydrofolate cyclo-ligase ","6.3.3.2","UniRef90_A0A0B5BFP0 5-formyltetrahydrofolate cyclo-ligase n=26 Tax=Bifidobacterium TaxID=1678 RepID=A0A0B5BFP0_BIFAD",0.958,417,5.96e-130,"0",NA,"5-formyltetrahydrofolate cyclo-ligase",NA,5.1e-145,409,"H","5-formyltetrahydrofolate cyclo-ligase family","6.3.3.2"
"SpeciesTaxid_1680.NC_008618.1_301","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_301.pdb.gz","NO","NO","A0A076JM81","99.1","99.5","100","B","[ribosomal protein S5]-alanine N-acetyltransferase ","2.3.1.267","UniRef90_A0A174BDX9 Acetyltransferase n=48 Tax=root TaxID=1 RepID=A0A174BDX9_BIFAD",1,448,1.14e-140,"0",NA,"gnat family n-acetyltransferase",NA,4.05e-158,442,"J","Acetyltransferase (GNAT) domain","2.3.1.128"
"SpeciesTaxid_1680.NC_008618.1_302","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_302.pdb.gz","NO","NO","A1A039","100","99.7","100","B","",NA,"UniRef90_A0A414C2Y2 Uncharacterized protein n=41 Tax=Bacteria TaxID=2 RepID=A0A414C2Y2_BIFAD",0.85,702,9.39e-225,"0",NA,"hypothetical protein",NA,3.78e-243,673,"-","-","-"
"SpeciesTaxid_1680.NC_008618.1_303","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_303.pdb.gz","NO","NO","A0A6B8LIW3","100","99","100","C","chaperonin GroES",NA,"UniRef90_A1A040 Co-chaperonin GroES n=70 Tax=Bacteria TaxID=2 RepID=CH10_BIFAA",0.949,196,2.62e-55,"0","chaperonin GroES",NA,NA,7.34e-63,192,"O","Binds to Cpn60 in the presence of Mg-ATP and suppresses the ATPase activity of the latter","-"
"SpeciesTaxid_1680.NC_008618.1_304","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_304.pdb.gz","NO","NO","A0A087CWA3","100","98.2","100","C","large subunit ribosomal protein L33",NA,"UniRef90_A1A041 50S ribosomal protein L33 n=156 Tax=Terrabacteria group TaxID=1783272 RepID=RL33_BIFAA",1,121,3.21e-30,"0",NA,"multispecies: 50s ribosomal protein l33","50s ribosomal protein l33",8.13e-35,118,"J","Ribosomal protein L33","-"
"SpeciesTaxid_1680.NC_008618.1_305","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_305.pdb.gz","NO","NO","A0A0C2Z732","100","99.8","100","B","UDP-N-acetylmuramate dehydrogenase ","1.3.1.98","UniRef90_A0A076JKI9 UDP-N-acetylenolpyruvoylglucosamine reductase n=43 Tax=Bifidobacterium TaxID=1678 RepID=A0A076JKI9_BIFAD",0.949,797,7.68e-258,"0","UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]",NA,NA,5.72e-282,771,"M","Cell wall formation","1.3.1.98"
"SpeciesTaxid_1680.NC_008618.1_306","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_306.pdb.gz","NO","NO","A1A043","100","99.8","97.1","B","basic amino acid/polyamine antiporter, APA family",NA,"UniRef90_A0A173XD35 Cationic amino acid transporter n=26 Tax=root TaxID=1 RepID=A0A173XD35_BIFAD",0.909,948,3.2e-308,"0","basic amino acid/polyamine antiporter, APA family",NA,NA,0,941,"E","aromatic amino acid transport protein AroP K03293","-"
"SpeciesTaxid_1680.NC_008618.1_307","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_307.pdb.gz","NO","NO","B6XWC1","100","99.1","100","C","",NA,"UniRef90_A0A076JGM5 Ferredoxin n=54 Tax=Bifidobacteriales TaxID=85004 RepID=A0A076JGM5_BIFAD",1,236,2.96e-69,"0",NA,"multispecies: ferredoxin family protein","ferredoxin",2.72e-78,232,"C","4Fe-4S binding domain","-"
"SpeciesTaxid_1680.NC_008618.1_308","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_308.pdb.gz","NO","NO","A1A045","100","99.7","100","B","",NA,"UniRef90_A0A0G9MC76 N-succinyldiaminopimelate aminotransferase n=45 Tax=Bifidobacterium TaxID=1678 RepID=A0A0G9MC76_BIFAD",0.953,767,8.71e-248,"0","aspartate aminotransferase [EC:2.6.1.1]",NA,NA,1.01e-271,744,"E","Aminotransferase class I and II","-"
"SpeciesTaxid_1680.NC_008618.1_309","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_309.pdb.gz","NO","NO","A0A1X2ZL62","100","99.5","100","B","",NA,"UniRef90_A0A1V8Q962 Glycosyl hydrolase n=9 Tax=Bifidobacterium adolescentis TaxID=1680 RepID=A0A1V8Q962_BIFAD",0.932,391,6.44e-121,"0",NA,NA,NA,NA,NA,NA,NA,NA
"SpeciesTaxid_1680.NC_008618.1_310","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_310.pdb.gz","NO","NO","A1A047","100","99.9","100","B","",NA,"UniRef90_C0BQK3 Beta_helix domain-containing protein n=144 Tax=Bacteria TaxID=2 RepID=C0BQK3_9BIFI",1,1454,0,"GH120 beta-xylosidase (EC 3.2.1.37)",NA,"right-handed parallel beta-helix repeat-containing protein",NA,0,1431,"G","Psort location Cytoplasmic, score 8.87","-"
"SpeciesTaxid_1680.NC_008618.1_311","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_311.pdb.gz","NO","NO","A0A4Y3H1N3","100","99.7","100","B","oligosaccharide reducing-end xylanase ","3.2.1.156","UniRef90_A1A048 Reducing end xylose-releasing exo-oligoxylanase n=81 Tax=Bacteria TaxID=2 RepID=REOX_BIFAA",1,829,2.47e-269,"GH8 chitosanase (EC 3.2.1.132); cellulase (EC 3.2.1.4); licheninase (EC 3.2.1.73); endo-1,4-beta-xylanase (EC 3.2.1.8); reducing-end-xylose releasing exo-oligoxylanase (EC 3.2.1.156)","oligosaccharide reducing-end xylanase [EC:3.2.1.156]",NA,NA,4.77e-298,810,"G","CBM9 module, glycoside hydrolase family 8 protein and carbohydrate esterase family 4 protein K01238","3.2.1.156"
"SpeciesTaxid_1680.NC_008618.1_312","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_312.pdb.gz","NO","NO","A1A049","100","99.6","100","B","xylan 1,4-beta-xylosidase ","3.2.1.37","UniRef90_A0A173Z416 Pyridine nucleotide-disulfide oxidoreductase n=130 Tax=Bacteria TaxID=2 RepID=A0A173Z416_BIFAD",0.981,1102,0,"GH43 beta-xylosidase (EC 3.2.1.37); alpha-L-arabinofuranosidase (EC 3.2.1.55); xylanase (EC 3.2.1.8); alpha-1,2-L-arabinofuranosidase (EC 3.2.1.-); exo-alpha-1,5-L-arabinofuranosidase (EC 3.2.1.-); [inverting] exo-alpha-1,5-L-arabinanase (EC 3.2.1.-); beta-1,3-xylosidase (EC 3.2.1.-); [inverting] exo-alpha-1,5-L-arabinanase (EC 3.2.1.-); [inverting] endo-alpha-1,5-L-arabinanase (EC 3.2.1.99); exo-beta-1,3-galactanase (EC 3.2.1.145); beta-D-galactofuranosidase (EC 3.2.1.146)",NA,"glycoside hydrolase 43 family protein",NA,0,1123,"G","candidate polyfunctional acetylxylan esterase b-xylosidase A-L-arabinofuranosidase, CBM9 module, glycoside hydrolase family 43 protein and carbohydrate esterase family 6 protein K01238","-"
"SpeciesTaxid_1680.NC_008618.1_313","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_313.pdb.gz","NO","NO","A1A050","100","99.8","100","B","",NA,"UniRef90_A0A173X5E0 Carboxylic ester hydrolase n=126 Tax=Bacteria TaxID=2 RepID=A0A173X5E0_9BIFI",1,1023,0,"0","para-nitrobenzyl esterase [EC:3.1.1.-]",NA,NA,0,1014,"I","Belongs to the type-B carboxylesterase lipase family","-"
"SpeciesTaxid_1680.NC_008618.1_314","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_314.pdb.gz","NO","NO","A1A051","100","99.8","94.1","B","DNA polymerase IV ","2.7.7.7","UniRef90_A0A7J5N0T1 DNA polymerase IV n=38 Tax=Bacteria TaxID=2 RepID=A0A7J5N0T1_BIFAD",0.954,890,4.2e-289,"0","DNA polymerase IV [EC:2.7.7.7]",NA,NA,0,869,"L","Poorly processive, error-prone DNA polymerase involved in untargeted mutagenesis. Copies undamaged DNA at stalled replication forks, which arise in vivo from mismatched or misaligned primer ends. These misaligned primers can be extended by PolIV. Exhibits no 3'-5' exonuclease (proofreading) activity. May be involved in translesional synthesis, in conjunction with the beta clamp from PolIII","2.7.7.7"
"SpeciesTaxid_1680.NC_008618.1_315","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_315.pdb.gz","NO","NO","A1A052","100","99.8","97.6","B","",NA,"UniRef90_A1A052 PGA_cap domain-containing protein n=65 Tax=Bacteria TaxID=2 RepID=A1A052_BIFAA",0.993,957,5.54700000000172e-312,"0",NA,"capa family protein",NA,0,932,"M","Bacterial capsule synthesis protein PGA_cap","-"
"SpeciesTaxid_1680.NC_008618.1_316","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_316.pdb.gz","NO","NO","A1A053","100","99.7","100","B","",NA,"UniRef90_A0A0C2UL88 2-hydroxyacid dehydrogenase n=29 Tax=Bacteria TaxID=2 RepID=A0A0C2UL88_BIFAD",0.973,676,2.18e-217,"0","D-3-phosphoglycerate dehydrogenase",NA,NA,1.58e-239,658,"EH","Belongs to the D-isomer specific 2-hydroxyacid dehydrogenase family","-"
"SpeciesTaxid_1680.NC_008618.1_317","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_317.pdb.gz","NO","NO","A0A076JM92","100","99.5","100","B","",NA,"UniRef90_A0A173XEG0 IMPACT family member YigZ n=26 Tax=Bacteria TaxID=2 RepID=A0A173XEG0_BIFAD",0.935,417,5.77e-130,"0",NA,"multispecies: impact family protein",NA,9.83e-146,411,"S","Uncharacterized protein family UPF0029","-"
"SpeciesTaxid_1680.NC_008618.1_318","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_318.pdb.gz","NO","NO","A0A1E7Y285","100","99.5","100","B","",NA,"UniRef90_A0A076JGN5 AbrB family trancriptional regulator n=22 Tax=Bacteria TaxID=2 RepID=A0A076JGN5_BIFAD",0.906,418,4.48e-130,"0",NA,"multispecies: hypothetical protein",NA,9.22e-139,394,"-","-","-"
"SpeciesTaxid_1680.NC_008618.1_319","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_319.pdb.gz","NO","NO","A1A056","100","99.9","99.6","B","4-alpha-glucanotransferase ","2.4.1.25","UniRef90_A1A056 4-alpha-glucanotransferase n=75 Tax=Bacteria TaxID=2 RepID=A1A056_BIFAA",0.981,1492,0,"GH77 amylomaltase or 4-alpha-glucanotransferase (EC 2.4.1.25)","4-alpha-glucanotransferase [EC:2.4.1.25]",NA,NA,0,1443,"G","4-alpha-glucanotransferase","2.4.1.25"
"SpeciesTaxid_1680.NC_008618.1_320","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_320.pdb.gz","NO","NO","A7A408","100","99.3","100","C","large subunit ribosomal protein L13",NA,"UniRef90_A1A057 50S ribosomal protein L13 n=26 Tax=cellular organisms TaxID=131567 RepID=RL13_BIFAA",0.962,304,8.37e-92,"0",NA,"multispecies: 50s ribosomal protein l13","50s ribosomal protein l13",2.75e-103,298,"J","This protein is one of the early assembly proteins of the 50S ribosomal subunit, although it is not seen to bind rRNA by itself. It is important during the early stages of 50S assembly","-"
